alpha,time,n_features,cost
7.888609052210118e-31,0.03262472152709961,51,
1.5777218104420236e-30,0.03273606300354004,47,
3.1554436208840472e-30,0.032788991928100586,54,
6.310887241768095e-30,0.032678842544555664,46,
1.262177448353619e-29,0.03270411491394043,56,
2.524354896707238e-29,0.03253912925720215,53,
5.048709793414476e-29,0.03269505500793457,58,
1.0097419586828951e-28,0.03262805938720703,52,
2.0194839173657902e-28,0.03262019157409668,42,
4.0389678347315804e-28,0.032804012298583984,39,
8.077935669463161e-28,0.03267478942871094,53,
1.6155871338926322e-27,0.03295326232910156,55,
3.2311742677852644e-27,0.03295493125915527,49,
6.462348535570529e-27,0.03308415412902832,49,
1.2924697071141057e-26,0.03284597396850586,56,
2.5849394142282115e-26,0.032982826232910156,41,
5.169878828456423e-26,0.03319287300109863,54,
1.0339757656912846e-25,0.04242300987243652,45,
2.0679515313825692e-25,0.03263115882873535,45,
4.1359030627651384e-25,0.032775163650512695,50,
8.271806125530277e-25,0.032874107360839844,46,
1.6543612251060553e-24,0.03276324272155762,48,
3.308722450212111e-24,0.032585859298706055,43,
6.617444900424222e-24,0.03249692916870117,52,
1.3234889800848443e-23,0.03284192085266113,55,
2.6469779601696886e-23,0.0326390266418457,59,
5.293955920339377e-23,0.03257298469543457,53,
1.0587911840678754e-22,0.03280282020568848,52,
2.117582368135751e-22,0.032723188400268555,61,
4.235164736271502e-22,0.03241896629333496,46,
8.470329472543003e-22,0.03263998031616211,48,
1.6940658945086007e-21,0.032578229904174805,54,
3.3881317890172014e-21,0.03252983093261719,47,
6.776263578034403e-21,0.03267717361450195,50,
1.3552527156068805e-20,0.03290700912475586,52,
2.710505431213761e-20,0.03258800506591797,50,
5.421010862427522e-20,0.032591819763183594,44,
1.0842021724855044e-19,0.03268098831176758,48,
2.168404344971009e-19,0.03256797790527344,52,
4.336808689942018e-19,0.032621145248413086,51,
8.673617379884035e-19,0.032706260681152344,52,
1.734723475976807e-18,0.032753944396972656,50,
3.469446951953614e-18,0.03289318084716797,55,
6.938893903907228e-18,0.032655954360961914,56,
1.3877787807814457e-17,0.03279900550842285,52,
2.7755575615628914e-17,0.03268098831176758,52,
5.551115123125783e-17,0.03265690803527832,51,
1.1102230246251565e-16,0.03267097473144531,48,
2.220446049250313e-16,0.03276324272155762,64,
4.440892098500626e-16,0.03282809257507324,50,
8.881784197001252e-16,0.032974958419799805,40,
1.7763568394002505e-15,0.03314089775085449,45,
3.552713678800501e-15,0.03277182579040527,48,
7.105427357601002e-15,0.032817840576171875,50,
1.4210854715202004e-14,0.03285813331604004,50,
2.842170943040401e-14,0.032817840576171875,45,
5.684341886080802e-14,0.03278017044067383,52,
1.1368683772161603e-13,0.033334970474243164,47,
2.2737367544323206e-13,0.033367156982421875,50,
4.547473508864641e-13,0.03295588493347168,56,
9.094947017729282e-13,0.03293323516845703,60,
1.8189894035458565e-12,0.03290081024169922,50,
3.637978807091713e-12,0.03287196159362793,50,
7.275957614183426e-12,0.03291177749633789,38,
1.4551915228366852e-11,0.03310585021972656,51,
2.9103830456733704e-11,0.03292107582092285,47,
5.820766091346741e-11,0.03285503387451172,42,
1.1641532182693481e-10,0.03265190124511719,63,
2.3283064365386963e-10,0.03293490409851074,51,
4.656612873077393e-10,0.032933950424194336,52,
9.313225746154785e-10,0.03280305862426758,46,
1.862645149230957e-09,0.03273916244506836,46,
3.725290298461914e-09,0.03286480903625488,54,
7.450580596923828e-09,0.03294515609741211,47,
1.4901161193847656e-08,0.0327448844909668,54,
2.9802322387695312e-08,0.032485246658325195,38,
5.960464477539063e-08,0.03302192687988281,46,
1.1920928955078125e-07,0.03279900550842285,45,
2.384185791015625e-07,0.03307199478149414,36,
4.76837158203125e-07,0.03283214569091797,51,
9.5367431640625e-07,0.03279995918273926,50,
1.9073486328125e-06,0.03272294998168945,47,
3.814697265625e-06,0.032753944396972656,54,
7.62939453125e-06,0.032485008239746094,53,
1.52587890625e-05,0.03264188766479492,49,
3.0517578125e-05,0.03243303298950195,45,
6.103515625e-05,0.0327150821685791,53,
0.0001220703125,0.03276705741882324,51,
0.000244140625,0.03252458572387695,51,
0.00048828125,0.032343149185180664,55,
0.0009765625,0.032852888107299805,55,
0.001953125,0.033232927322387695,50,
0.00390625,0.03379678726196289,46,
0.0078125,0.03278303146362305,40,
0.015625,0.032776832580566406,53,
0.03125,0.032804012298583984,41,
0.0625,0.03275799751281738,45,
0.125,0.03296995162963867,55,
0.25,0.03295087814331055,50,
0.5,0.03452706336975098,56,
